Ticker,Ticker_B3,Codigo_Emissor,CD_CVM,CNPJ_CIA,DENOM_CIA,Nome_Pregao,Setor,Subsetor,Segmento_Setorial,Segmento_Listagem,Eh_Estatal,Participacao_Indice,Segmento_Novo_Mercado,Segmento_Nivel_1,Segmento_Nivel_2,Segmento_Bovespa_Mais,Segmento_Bovespa_Mais_Nivel_2,Segmento_Tradicional
TEND3.SA,TEND3,TEND,21148,71476527000135,CONSTRUTORA TENDA S.A.,TENDA,Consumo Cíclico,Construção Civil,Incorporações,Novo Mercado,0,"0,120",1,0,0,0,0,0
TFCO4.SA,TFCO4,TFCO,25208,59418806000147,TRACK & FIELD CO S.A.,TRACK FIELD,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário,Nivel 2,0,"0,025",0,0,1,0,0,0
TGMA3.SA,TGMA3,TGMA,20800,2351144000118,TEGMA GESTAO LOGISTICA S.A.,TEGMA,Bens Industriais,Transporte,Transporte Rodoviário,Novo Mercado,0,"0,035",1,0,0,0,0,0
TIMS3.SA,TIMS3,TIMS,24929,2421421000111,TIM S.A.,TIM,Comunicações,Telecomunicações,Telecomunicações,Novo Mercado,0,"0,692",1,0,0,0,0,0
TOTS3.SA,TOTS3,TOTS,19992,53113791000122,TOTVS S.A.,TOTVS,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,Novo Mercado,0,"0,596",1,0,0,0,0,0
TTEN3.SA,TTEN3,TTEN,25950,94813102000170,TRÊS TENTOS AGROINDUSTRIAL S/A,3TENTOS,Consumo não Cíclico,Agropecuária,Agricultura,Novo Mercado,0,"0,058",1,0,0,0,0,0
TUPY3.SA,TUPY3,TUPY,6343,84683374000300,TUPY S.A.,TUPY,Bens Industriais,Material de Transporte,Material Rodoviário,Novo Mercado,0,"0,066",1,0,0,0,0,0
UGPA3.SA,UGPA3,UGPA,18465,33256439000139,ULTRAPAR PARTICIPACOES S.A.,ULTRAPAR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Novo Mercado,0,"1,025",1,0,0,0,0,0
UNIP6.SA,UNIP6,UNIP,11592,33958695000178,UNIPAR CARBOCLORO S.A.,UNIPAR,Materiais Básicos,Químicos,Químicos Diversos,Tradicional,0,"0,099",0,0,0,0,0,1
USIM5.SA,USIM5,USIM,14320,60894730000105,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIMINAS,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,Nivel 1,0,"0,120",0,1,0,0,0,0
VALE3.SA,VALE3,VALE,4170,33592510000154,VALE S.A.,VALE,Materiais Básicos,Mineração,Minerais Metálicos,Novo Mercado,0,"12,127",1,0,0,0,0,0
VAMO3.SA,VAMO3,VAMO,24716,23373000000132,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,VAMOS,Consumo Cíclico,Diversos,Aluguel de carros,Novo Mercado,0,"0,066",1,0,0,0,0,0
VBBR3.SA,VBBR3,VBBR,24295,34274233000102,VIBRA ENERGIA S.A.,VIBRA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Novo Mercado,0,"1,274",1,0,0,0,0,0
VIVA3.SA,VIVA3,VIVA,24805,33839910000111,VIVARA PARTICIPAÇOES S.A,VIVARA S.A.,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,Novo Mercado,0,"0,109",1,0,0,0,0,0
VIVT3.SA,VIVT3,VIVT,17671,2558157000162,TELEFÔNICA BRASIL S.A,TELEF BRASIL,Comunicações,Telecomunicações,Telecomunicações,Tradicional,0,"0,969",0,0,0,0,0,1
VLID3.SA,VLID3,VLID,20028,33113309000147,VALID SOLUÇÕES S.A.,VALID,Bens Industriais,Serviços Diversos,Serviços Diversos,Novo Mercado,0,"0,050",1,0,0,0,0,0
VULC3.SA,VULC3,VULC,11762,50926955000142,VULCABRAS S.A.,VULCABRAS,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,Novo Mercado,0,"0,060",1,0,0,0,0,0
WEGE3.SA,WEGE3,WEGE,5410,84429695000111,WEG S.A.,WEG,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",Novo Mercado,0,"2,307",1,0,0,0,0,0
YDUQ3.SA,YDUQ3,YDUQ,21016,8807432000110,YDUQS PARTICIPACOES S.A.,YDUQS PART,Consumo Cíclico,Diversos,Serviços Educacionais,Novo Mercado,0,"0,099",1,0,0,0,0,0
